RK,NAME,TEAM,SALARY
98,"Jason Richardson, SG",Atlanta Hawks,"$6,204,250 "
99,"Derrick Favors, PF",Utah Jazz,"$6,008,196 "
100,"Gerald Henderson, SG",Charlotte Bobcats,"$6,000,000 "
101,"Robin Lopez, C",Portland Trail Blazers,"$5,904,261 "
102,"Chuck Hayes, PF",Toronto Raptors,"$5,722,500 "
103,"Jason Thompson, PF",Sacramento Kings,"$5,643,750 "
104,"Jason Terry, SG",Brooklyn Nets,"$5,625,313 "
105,"Kyrie Irving, PG",Cleveland Cavaliers,"$5,607,240 "
106,"JR Smith, SG",New York Knicks,"$5,565,000 "
107,"Anthony Davis, PF",New Orleans Pelicans,"$5,375,760 "
108,"Anthony Bennett, PF",Cleveland Cavaliers,"$5,324,280 "
109,"Jamal Crawford, SG",LA Clippers,"$5,225,000 "
110,"Courtney Lee, SG",Memphis Grizzlies,"$5,225,000 "
111,"Lou Williams, SG",Atlanta Hawks,"$5,225,000 "
112,"Zaza Pachulia, C",Milwaukee Bucks,"$5,200,000 "
113,"JJ Hickson, C",Denver Nuggets,"$5,150,000 "
114,"Martell Webster, SF",Washington Wizards,"$5,150,000 "
115,"Keith Bogans, SG",Boston Celtics,"$5,058,198 "
116,"Derrick Williams, PF",Sacramento Kings,"$5,016,960 "
117,"Andre Miller, PG",Washington Wizards,"$5,000,000 "
118,"Ramon Sessions, PG",Charlotte Bobcats,"$5,000,000 "
119,"Brandan Wright, PF",Dallas Mavericks,"$5,000,000 "
120,"Corey Brewer, SF",Minnesota Timberwolves,"$5,000,000 "
121,"DeMarcus Cousins, C",Sacramento Kings,"$4,916,974 "
122,"Michael Kidd-Gilchrist, SF",Charlotte Bobcats,"$4,809,840 "
123,"Victor Oladipo, SG",Orlando Magic,"$4,763,760 "
124,"Boris Diaw, C",San Antonio Spurs,"$4,702,500 "
125,"J.J. Barea, PG",Minnesota Timberwolves,"$4,687,000 "
126,"Luc Mbah a Moute, PF",Sacramento Kings,"$4,588,384 "
127,"Luis Scola, PF",Indiana Pacers,"$4,508,504 "
128,"Enes Kanter, C",Utah Jazz,"$4,505,280 "
129,"Jonas Jerebko, PF",Detroit Pistons,"$4,500,000 "
130,"Tony Allen, SG",Memphis Grizzlies,"$4,494,383 "
131,"Ekpe Udoh, C",Milwaukee Bucks,"$4,469,548 "
132,"Luke Ridnour, PG",Charlotte Bobcats,"$4,420,000 "
133,"Timofey Mozgov, C",Denver Nuggets,"$4,400,000 "
134,"Udonis Haslem, PF",Miami Heat,"$4,340,000 "
135,"Bradley Beal, SG",Washington Wizards,"$4,319,280 "
136,"Otto Porter Jr., SF",Washington Wizards,"$4,278,000 "
137,"Jared Dudley, SF",LA Clippers,"$4,250,000 "
138,"Greg Monroe, C",Detroit Pistons,"$4,086,454 "
139,"Tristan Thompson, C",Cleveland Cavaliers,"$4,062,000 "
140,"Kirk Hinrich, SG",Chicago Bulls,"$4,059,000 "
141,"Elton Brand, PF",Atlanta Hawks,"$4,000,000 "
142,"Ian Mahinmi, C",Indiana Pacers,"$4,000,000 "
143,"Mario Chalmers, PG",Miami Heat,"$4,000,000 "
144,"Steve Blake, PG",Los Angeles Lakers,"$4,000,000 "
145,"Matt Bonner, C",San Antonio Spurs,"$3,945,000 "
146,"Thabo Sefolosha, SF",Oklahoma City Thunder,"$3,900,000 "
147,"Dion Waiters, SG",Cleveland Cavaliers,"$3,894,240 "
148,"Cody Zeller, C",Charlotte Bobcats,"$3,857,040 "
149,"Joel Anthony, PF",Miami Heat,"$3,800,000 "
150,"Danny Green, SG",San Antonio Spurs,"$3,762,500 "
151,"Steve Novak, SF",Toronto Raptors,"$3,750,000 "
152,"Al-Farouq Aminu, PF",New Orleans Pelicans,"$3,749,602 "
153,"Samuel Dalembert, C",Dallas Mavericks,"$3,700,748 "
154,"Ricky Rubio, PG",Minnesota Timberwolves,"$3,678,358 "
155,"Raymond Felton, PG",New York Knicks,"$3,637,073 "
156,"Jonas Valanciunas, C",Toronto Raptors,"$3,526,440 "
157,"Thomas Robinson, PF",Portland Trail Blazers,"$3,526,440 "
158,"Jordan Hill, C",Los Angeles Lakers,"$3,500,000 "
159,"Marreese Speights, PF",Golden State Warriors,"$3,500,000 "
160,"Gerald Green, SG",Phoenix Suns,"$3,500,000 "
161,"Alex Len, C",Phoenix Suns,"$3,492,720 "
162,"Gordon Hayward, SF",Utah Jazz,"$3,452,183 "
163,"Jan Vesely, PF",Washington Wizards,"$3,340,920 "
164,"Paul George, SF",Indiana Pacers,"$3,282,003 "
165,"Shane Battier, SF",Miami Heat,"$3,270,000 "
166,"Matt Barnes, SF",LA Clippers,"$3,250,000 "
167,"Carlos Delfino, SG",LA Clippers,"$3,250,000 "
168,"Gary Neal, PG",Charlotte Bobcats,"$3,250,000 "
169,"Darrell Arthur, PF",Denver Nuggets,"$3,231,683 "
170,"Mirza Teletovic, PF",Brooklyn Nets,"$3,229,050 "
171,"Ray Allen, SG",Miami Heat,"$3,229,050 "
172,"Damian Lillard, PG",Portland Trail Blazers,"$3,202,920 "
173,"Andrei Kirilenko, SF",Brooklyn Nets,"$3,183,000 "
174,"Tyler Hansbrough, PF",Toronto Raptors,"$3,183,000 "
175,"Chris Kaman, C",Los Angeles Lakers,"$3,183,000 "
176,"Mike Dunleavy, SG",Chicago Bulls,"$3,183,000 "
177,"Vince Carter, SG",Dallas Mavericks,"$3,180,000 "
178,"Nerlens Noel, C",Dallas Mavericks,"$3,172,320 "
179,"Ed Davis, PF",Memphis Grizzlies,"$3,153,860 "
180,"Alexey Shved, PG",Minnesota Timberwolves,"$3,150,000 "
181,"Jerryd Bayless, PG",Memphis Grizzlies,"$3,135,000 "
182,"Patrick Patterson, PF",Toronto Raptors,"$3,105,302 "
183,"Lavoy Allen, PF",Philadelphia 76ers,"$3,060,000 "
184,"Larry Sanders, PF",Milwaukee Bucks,"$3,053,368 "
185,"Bismack Biyombo, C",Charlotte Bobcats,"$3,049,920 "
186,"Travis Outlaw, SF",Sacramento Kings,"$3,000,000 "
187,"Kosta Koufos, C",Memphis Grizzlies,"$3,000,000 "
188,"Chris Copeland, SF",Indiana Pacers,"$3,000,000 "
189,"Harrison Barnes, SF",Golden State Warriors,"$2,923,920 "
190,"Joel Freeland, C",Portland Trail Blazers,"$2,897,976 "
191,"Ben McLemore, SG",Sacramento Kings,"$2,895,960 "
192,"Brandon Knight, PG",Milwaukee Bucks,"$2,793,960 "
193,"Will Bynum, PG",Detroit Pistons,"$2,790,343 "
194,"Kevin Seraphin, C",Washington Wizards,"$2,761,114 "
195,"Marco Belinelli, SG",San Antonio Spurs,"$2,750,000 "
196,"Aaron Gray, C",Toronto Raptors,"$2,690,875 "
197,"Terrence Ross, SG",Toronto Raptors,"$2,678,640 "
198,"Kentavious Caldwell-Pope, SG",Detroit Pistons,"$2,653,080 "
199,"Wayne Ellington, SG",Dallas Mavericks,"$2,652,000 "
200,"Mo Williams, PG",Portland Trail Blazers,"$2,652,000 "
201,"Eric Bledsoe, PG",Phoenix Suns,"$2,626,474 "
202,"Nick Collison, PF",Oklahoma City Thunder,"$2,585,668 "
203,"Kemba Walker, PG",Charlotte Bobcats,"$2,568,360 "
204,"DeMarre Carroll, SF",Atlanta Hawks,"$2,557,545 "
205,"Avery Bradley, SG",Boston Celtics,"$2,511,432 "
206,"Jason Smith, PF",New Orleans Pelicans,"$2,500,000 "
207,"Chauncey Billups, PG",Detroit Pistons,"$2,500,000 "
208,"Andre Drummond, C",Detroit Pistons,"$2,465,400 "
209,"Trey Burke, PG",Utah Jazz,"$2,438,760 "
210,"Trevor Booker, PF",Washington Wizards,"$2,350,820 "
211,"Austin Rivers, PG",New Orleans Pelicans,"$2,339,040 "
212,"Klay Thompson, SG",Golden State Warriors,"$2,317,920 "
213,"CJ McCollum, SG",Portland Trail Blazers,"$2,316,720 "
214,"Quincy Pondexter, SG",Memphis Grizzlies,"$2,225,479 "
215,"CJ Miles, SF",Cleveland Cavaliers,"$2,225,000 "
216,"Meyers Leonard, C",Portland Trail Blazers,"$2,222,160 "
217,"Alec Burks, SG",Utah Jazz,"$2,202,000 "
218,"Michael Carter-Williams, PG",Philadelphia 76ers,"$2,200,920 "
219,"Dante Cunningham, SF",Minnesota Timberwolves,"$2,180,000 "
220,"Jordan Crawford, SG",Golden State Warriors,"$2,162,419 "
221,"Greivis Vasquez, PG",Toronto Raptors,"$2,150,188 "
222,"Jeremy Lamb, SG",Oklahoma City Thunder,"$2,111,160 "
223,"Markieff Morris, PF",Phoenix Suns,"$2,091,840 "
224,"Steven Adams, C",Oklahoma City Thunder,"$2,090,880 "
225,"Brendan Haywood, C",Portland Trail Blazers,"$2,050,000 "
226,"C.J. Watson, PG",Indiana Pacers,"$2,016,000 "
227,"Nate Robinson, PG",Denver Nuggets,"$2,016,000 "
228,"Jermaine O'Neal, C",Golden State Warriors,"$2,000,000 "
229,"Vitor Faverani, C",Boston Celtics,"$2,000,000 "
230,"Marcus Morris, PF",Phoenix Suns,"$1,987,320 "
231,"Kelly Olynyk, C",Boston Celtics,"$1,986,360 "
232,"John Henson, PF",Milwaukee Bucks,"$1,905,360 "
233,"Darren Collison, PG",LA Clippers,"$1,900,000 "
234,"Kawhi Leonard, SF",San Antonio Spurs,"$1,887,840 "
235,"Shabazz Muhammad, SG",Minnesota Timberwolves,"$1,887,120 "
