RK,NAME,TEAM,SALARY
117,"Courtney Lee, SG",Memphis Grizzlies,"$5,450,000 "
118,"Lou Williams, SG",Toronto Raptors,"$5,450,000 "
119,"JJ Hickson, C",Denver Nuggets,"$5,381,750 "
120,"Martell Webster, SF",Washington Wizards,"$5,381,750 "
121,"Chris Andersen, PF",Miami Heat,"$5,375,000 "
122,"Spencer Hawes, PF",LA Clippers,"$5,305,000 "
123,"Paul Pierce, SF",Washington Wizards,"$5,305,000 "
124,"Nikola Mirotic, PF",Chicago Bulls,"$5,305,000 "
125,"Keith Bogans, SG",Philadelphia 76ers,"$5,285,817 "
126,"Zaza Pachulia, C",Milwaukee Bucks,"$5,200,000 "
127,"Tristan Thompson, C",Cleveland Cavaliers,"$5,138,430 "
128,"Michael Kidd-Gilchrist, SF",Charlotte Hornets,"$5,016,960 "
129,"Chase Budinger, SF",Minnesota Timberwolves,"$5,000,000 "
130,"Brandan Wright, PF",Phoenix Suns,"$5,000,000 "
131,"Trevor Booker, PF",Utah Jazz,"$5,000,000 "
132,"Nick Young, SG",Los Angeles Lakers,"$4,994,420 "
133,"Victor Oladipo, SG",Orlando Magic,"$4,978,200 "
134,"Jabari Parker, PF",Milwaukee Bucks,"$4,930,560 "
135,"Luis Scola, PF",Indiana Pacers,"$4,868,499 "
136,"Tony Allen, SG",Memphis Grizzlies,"$4,831,461 "
137,"Chris Kaman, C",Portland Trail Blazers,"$4,800,000 "
138,"Darren Collison, PG",Sacramento Kings,"$4,797,664 "
139,"Kostas Papanikolaou, SF",Houston Rockets,"$4,797,664 "
140,"Corey Brewer, SF",Minnesota Timberwolves,"$4,702,500 "
141,"Ricky Rubio, PG",Minnesota Timberwolves,"$4,660,479 "
142,"Andre Miller, PG",Washington Wizards,"$4,650,000 "
143,"Timofey Mozgov, C",Denver Nuggets,"$4,650,000 "
144,"Bradley Beal, SG",Washington Wizards,"$4,505,280 "
145,"Jonas Jerebko, PF",Detroit Pistons,"$4,500,000 "
146,"Ben Gordon, SG",Orlando Magic,"$4,500,000 "
147,"Otto Porter Jr., SF",Washington Wizards,"$4,470,480 "
148,"Joel Embiid, C",Philadelphia 76ers,"$4,427,640 "
149,"Luc Mbah a Moute, PF",Philadelphia 76ers,"$4,382,576 "
150,"Jared Dudley, SF",Milwaukee Bucks,"$4,250,000 "
151,"Kris Humphries, PF",Washington Wizards,"$4,250,000 "
152,"CJ Miles, SF",Indiana Pacers,"$4,205,000 "
153,"Thabo Sefolosha, SF",Atlanta Hawks,"$4,150,000 "
154,"Dion Waiters, SG",Oklahoma City Thunder,"$4,062,000 "
155,"Samuel Dalembert, C",New York Knicks,"$4,051,527 "
156,"Cody Zeller, C",Charlotte Hornets,"$4,030,560 "
157,"Danny Green, SG",San Antonio Spurs,"$4,025,000 "
158,"Mario Chalmers, PG",Miami Heat,"$4,000,000 "
159,"Ian Mahinmi, C",Indiana Pacers,"$4,000,000 "
160,"Aaron Gordon, PF",Orlando Magic,"$3,992,040 "
161,"Mo Williams, PG",Charlotte Hornets,"$3,965,074 "
162,"Vince Carter, SG",Memphis Grizzlies,"$3,911,981 "
163,"Kevin Seraphin, C",Washington Wizards,"$3,898,692 "
164,"Devin Harris, PG",Dallas Mavericks,"$3,878,896 "
165,"Bismack Biyombo, C",Charlotte Hornets,"$3,873,398 "
166,"Patty Mills, PG",San Antonio Spurs,"$3,842,105 "
167,"Joel Anthony, PF",Detroit Pistons,"$3,800,000 "
168,"Raymond Felton, PG",Dallas Mavericks,"$3,793,693 "
169,"Jonas Valanciunas, C",Toronto Raptors,"$3,678,360 "
170,"Thomas Robinson, PF",Portland Trail Blazers,"$3,678,360 "
171,"Marreese Speights, PF",Golden State Warriors,"$3,657,500 "
172,"Alex Len, C",Phoenix Suns,"$3,649,920 "
173,"Dante Exum, PG",Utah Jazz,"$3,615,000 "
174,"Brandon Knight, PG",Phoenix Suns,"$3,553,917 "
175,"Gerald Green, SG",Phoenix Suns,"$3,500,000 "
176,"Darrell Arthur, PF",Denver Nuggets,"$3,457,149 "
177,"Steve Novak, SF",Utah Jazz,"$3,445,947 "
178,"Matt Barnes, SF",LA Clippers,"$3,396,250 "
179,"Mirza Teletovic, PF",Brooklyn Nets,"$3,368,100 "
180,"Damian Lillard, PG",Portland Trail Blazers,"$3,340,920 "
181,"Mike Scott, PF",Atlanta Hawks,"$3,333,333 "
182,"Tyler Hansbrough, PF",Toronto Raptors,"$3,326,235 "
183,"Andrei Kirilenko, SF",Brooklyn Nets,"$3,326,235 "
184,"Mike Dunleavy, SG",Chicago Bulls,"$3,326,235 "
185,"Nerlens Noel, C",Philadelphia 76ers,"$3,315,120 "
186,"Marcus Smart, PG",Boston Celtics,"$3,283,320 "
187,"Alexey Shved, PG",Philadelphia 76ers,"$3,282,056 "
188,"Jason Smith, PF",New York Knicks,"$3,278,000 "
189,"Evan Turner, SG",Boston Celtics,"$3,278,000 "
190,"Bojan Bogdanovic, SF",Brooklyn Nets,"$3,278,000 "
191,"Kemba Walker, PG",Charlotte Hornets,"$3,272,091 "
192,"Carlos Boozer, PF",Los Angeles Lakers,"$3,251,000 "
193,"Carlos Delfino, SG",LA Clippers,"$3,250,000 "
194,"Gary Neal, PG",Charlotte Hornets,"$3,250,000 "
195,"Anthony Morrow, SG",Oklahoma City Thunder,"$3,200,000 "
196,"Dorell Wright, SF",Portland Trail Blazers,"$3,150,000 "
197,"Quincy Pondexter, SG",Memphis Grizzlies,"$3,146,068 "
198,"Chris Copeland, SF",Indiana Pacers,"$3,135,000 "
199,"Klay Thompson, SG",Golden State Warriors,"$3,075,880 "
200,"Harrison Barnes, SF",Golden State Warriors,"$3,049,920 "
201,"Alec Burks, SG",Utah Jazz,"$3,034,356 "
202,"Ben McLemore, SG",Sacramento Kings,"$3,026,280 "
203,"Joel Freeland, C",Portland Trail Blazers,"$3,013,512 "
204,"Kosta Koufos, C",Memphis Grizzlies,"$3,000,000 "
205,"Jerryd Bayless, PG",Milwaukee Bucks,"$3,000,000 "
206,"Anthony Tolliver, PF",Phoenix Suns,"$3,000,000 "
207,"Julius Randle, PF",Los Angeles Lakers,"$2,997,360 "
208,"Markieff Morris, PF",Phoenix Suns,"$2,989,239 "
209,"Furkan Aldemir, PF",Philadelphia 76ers,"$2,963,232 "
210,"Marcus Morris, PF",Phoenix Suns,"$2,943,221 "
211,"Will Bynum, PG",Washington Wizards,"$2,915,908 "
212,"Kawhi Leonard, SF",San Antonio Spurs,"$2,894,059 "
213,"Marco Belinelli, SG",San Antonio Spurs,"$2,873,750 "
214,"Terrence Ross, SG",Toronto Raptors,"$2,793,960 "
215,"Kentavious Caldwell-Pope, SG",Detroit Pistons,"$2,772,480 "
216,"Nikola Vucevic, C",Orlando Magic,"$2,751,260 "
217,"Luke Ridnour, PG",Orlando Magic,"$2,750,000 "
218,"Nik Stauskas, SG",Sacramento Kings,"$2,745,840 "
219,"Brian Roberts, PG",Charlotte Hornets,"$2,732,000 "
220,"Udonis Haslem, PF",Miami Heat,"$2,732,000 "
221,"Mike Miller, SG",Cleveland Cavaliers,"$2,732,000 "
222,"Kirk Hinrich, SG",Chicago Bulls,"$2,732,000 "
223,"Iman Shumpert, SG",New York Knicks,"$2,616,975 "
224,"Andre Drummond, C",Detroit Pistons,"$2,568,360 "
225,"Trey Burke, PG",Utah Jazz,"$2,548,560 "
226,"Noah Vonleh, PF",Charlotte Hornets,"$2,524,200 "
227,"James Johnson, PF",Toronto Raptors,"$2,500,000 "
228,"DeMarre Carroll, SF",Atlanta Hawks,"$2,442,455 "
229,"Austin Rivers, PG",LA Clippers,"$2,439,840 "
230,"Shelvin Mack, PG",Atlanta Hawks,"$2,433,333 "
231,"CJ McCollum, SG",Portland Trail Blazers,"$2,421,000 "
232,"Elfrid Payton, PG",Orlando Magic,"$2,397,840 "
233,"Tobias Harris, SF",Orlando Magic,"$2,380,594 "
234,"Meyers Leonard, C",Portland Trail Blazers,"$2,317,920 "
235,"Michael Carter-Williams, PG",Philadelphia 76ers,"$2,300,040 "
236,"Doug McDermott, SF",Chicago Bulls,"$2,277,960 "
237,"Kenneth Faried, PF",Denver Nuggets,"$2,249,768 "
238,"Nick Collison, PF",Oklahoma City Thunder,"$2,242,003 "
239,"Brendan Haywood, C",Cleveland Cavaliers,"$2,213,668 "
240,"Reggie Jackson, PG",Oklahoma City Thunder,"$2,204,369 "
241,"Jeremy Lamb, SG",Oklahoma City Thunder,"$2,202,000 "
242,"Steven Adams, C",Oklahoma City Thunder,"$2,184,960 "
243,"Vitor Faverani, C",Boston Celtics,"$2,090,000 "
244,"Jordan Farmar, PG",LA Clippers,"$2,077,000 "
245,"C.J. Watson, PG",Indiana Pacers,"$2,077,000 "
246,"Steve Blake, PG",Portland Trail Blazers,"$2,077,000 "
247,"Danny Granger, SF",Miami Heat,"$2,077,000 "
248,"Aron Baynes, C",San Antonio Spurs,"$2,077,000 "
249,"Kelly Olynyk, C",Boston Celtics,"$2,075,760 "
250,"Zach LaVine, PG",Minnesota Timberwolves,"$2,055,840 "
251,"Norris Cole, PG",Miami Heat,"$2,038,206 "
252,"Cory Joseph, PG",San Antonio Spurs,"$2,023,261 "
253,"Jimmy Butler, SG",Chicago Bulls,"$2,008,748 "
254,"DeJuan Blair, C",Washington Wizards,"$2,000,000 "
255,"John Salmons, SF",New Orleans Pelicans,"$2,000,000 "
256,"Kent Bazemore, SG",Atlanta Hawks,"$2,000,000 "
257,"John Henson, PF",Milwaukee Bucks,"$1,987,320 "
258,"Shabazz Muhammad, SG",Minnesota Timberwolves,"$1,971,960 "
259,"TJ Warren, SF",Phoenix Suns,"$1,953,120 "
260,"Maurice Harkless, SF",Orlando Magic,"$1,887,840 "
261,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$1,873,200 "
262,"Adreian Payne, PF",Minnesota Timberwolves,"$1,855,320 "
263,"Jeff Ayres, PF",San Antonio Spurs,"$1,828,750 "
264,"Anthony Randolph, SF",Madrid Real Madrid,"$1,825,359 "
265,"Jeremy Evans, SF",Utah Jazz,"$1,794,871 "
266,"Joffrey Lauvergne, C",Denver Nuggets,"$1,790,281 "
267,"Reggie Evans, C",Sacramento Kings,"$1,768,653 "
268,"Lucas Nogueira, C",Toronto Raptors,"$1,762,680 "
269,"Jusuf Nurkic, C",Denver Nuggets,"$1,762,680 "
270,"Luigi Datome, SF",Detroit Pistons,"$1,750,000 "
271,"Zoran Dragic, SG",Phoenix Suns,"$1,706,225 "
272,"Tyler Zeller, C",Boston Celtics,"$1,703,760 "
273,"Dennis Schroder, PG",Atlanta Hawks,"$1,690,680 "
274,"James Young, SG",Boston Celtics,"$1,674,480 "
275,"Pablo Prigioni, PG",New York Knicks,"$1,662,961 "
276,"Ryan Kelly, PF",Los Angeles Lakers,"$1,650,000 "
277,"Terrence Jones, PF",Houston Rockets,"$1,618,680 "
278,"Shane Larkin, PG",New York Knicks,"$1,606,080 "
279,"Tyler Ennis, PG",Phoenix Suns,"$1,590,720 "
280,"Andrew Nicholson, PF",Orlando Magic,"$1,545,840 "
281,"Sergey Karasev, SG",Brooklyn Nets,"$1,533,840 "
282,"Gary Harris, SG",Denver Nuggets,"$1,519,200 "
283,"Ronny Turiaf, C",Minnesota Timberwolves,"$1,500,000 "
284,"Miroslav Raduljica, C",Minnesota Timberwolves,"$1,500,000 "
285,"Evan Fournier, SF",Orlando Magic,"$1,483,920 "
286,"Donatas Motiejunas, PF",Houston Rockets,"$1,483,920 "
287,"Tony Snell, SG",Chicago Bulls,"$1,472,400 "
288,"Bruno Caboclo, SF",Toronto Raptors,"$1,458,360 "
289,"Scotty Hopson, SG",Sacramento Kings,"$1,450,878 "
290,"Willie Green, SG",Orlando Magic,"$1,448,490 "
291,"Lamar Odom, PF",New York Knicks,"$1,448,490 "
292,"Mike James, PG",Chicago Bulls,"$1,448,490 "
293,"Jared Sullinger, C",Boston Celtics,"$1,424,520 "
294,"Gorgui Dieng, C",Minnesota Timberwolves,"$1,413,480 "
295,"Mitch McGary, PF",Oklahoma City Thunder,"$1,400,040 "
296,"Victor Claver, PF",Portland Trail Blazers,"$1,370,000 "
297,"Mason Plumlee, C",Brooklyn Nets,"$1,357,080 "
298,"Jordan Adams, SG",Memphis Grizzlies,"$1,344,120 "
299,"Melvin Ely, C",Washington Wizards,"$1,316,809 "
300,"John Jenkins, SG",Atlanta Hawks,"$1,312,920 "
301,"Josh Powell, PF",Milwaukee Bucks,"$1,310,286 "
302,"Ronnie Brewer, SF",Chicago Bulls,"$1,310,286 "
303,"Solomon Hill, SF",Indiana Pacers,"$1,302,840 "
304,"Rodney Hood, SG",Utah Jazz,"$1,290,360 "
305,"Alan Anderson, SG",Brooklyn Nets,"$1,276,061 "
306,"Tim Hardaway Jr., SF",New York Knicks,"$1,250,640 "
307,"Hasheem Thabeet, C",Detroit Pistons,"$1,250,000 "
308,"Pero Antic, PF",Atlanta Hawks,"$1,250,000 "
309,"Shabazz Napier, PG",Miami Heat,"$1,238,640 "
310,"Shawne Williams, SF",Miami Heat,"$1,227,985 "
311,"Aaron Gray, C",Detroit Pistons,"$1,227,985 "
312,"Shavlik Randolph, PF",Phoenix Suns,"$1,227,985 "
313,"Tony Wroten, SG",Philadelphia 76ers,"$1,210,080 "
314,"Reggie Bullock, SF",Phoenix Suns,"$1,200,720 "
315,"Clint Capela, C",Houston Rockets,"$1,189,200 "
316,"Miles Plumlee, C",Phoenix Suns,"$1,169,880 "
317,"Andre Roberson, SG",Oklahoma City Thunder,"$1,160,880 "
318,"P.J. Hairston, SF",Charlotte Hornets,"$1,149,720 "
319,"Brandon Rush, SG",Golden State Warriors,"$1,145,685 "
320,"Hilton Armstrong, PF",Golden State Warriors,"$1,145,685 "
321,"Cartier Martin, PF",Detroit Pistons,"$1,145,685 "
322,"Arnett Moultrie, PF",New York Knicks,"$1,136,160 "
323,"Perry Jones, SF",Oklahoma City Thunder,"$1,129,200 "
324,"Rudy Gobert, C",Utah Jazz,"$1,127,400 "
325,"Marquis Teague, PG",Philadelphia 76ers,"$1,120,920 "
326,"Festus Ezeli, C",Golden State Warriors,"$1,112,880 "
327,"Archie Goodwin, SG",Phoenix Suns,"$1,112,280 "
328,"CJ Wilcox, SG",LA Clippers,"$1,109,760 "
329,"Nemanja Nedovic, PG",Golden State Warriors,"$1,104,240 "
330,"Damjan Rudez, SF",Indiana Pacers,"$1,100,000 "
331,"Kyle Anderson, SF",San Antonio Spurs,"$1,093,680 "
332,"Kyle Singler, SF",Oklahoma City Thunder,"$1,090,000 "
333,"Xavier Henry, SG",Los Angeles Lakers,"$1,082,000 "
334,"Robert Covington, SF",Philadelphia 76ers,"$1,000,000 "
335,"Garrett Temple, SG",Washington Wizards,"$981,084 "
336,"Alexis Ajinca, C",New Orleans Pelicans,"$981,084 "
337,"Ed Davis, PF",Los Angeles Lakers,"$981,084 "
338,"Al-Farouq Aminu, PF",Dallas Mavericks,"$981,084 "
339,"Luke Babbitt, SF",New Orleans Pelicans,"$981,084 "
340,"Jon Leuer, PF",Memphis Grizzlies,"$967,500 "
341,"Josh Harrellson, C",Washington Wizards,"$948,163 "
342,"Donald Sloan, PG",Indiana Pacers,"$948,163 "
343,"Jeremy Tyler, C",Houston Rockets,"$948,163 "
344,"E'Twaun Moore, SG",Chicago Bulls,"$948,163 "
345,"Aaron Brooks, PG",Chicago Bulls,"$915,243 "
346,"Rasual Butler, SF",Washington Wizards,"$915,243 "
347,"Cole Aldrich, C",New York Knicks,"$915,243 "
348,"Drew Gooden, PF",Washington Wizards,"$915,243 "
349,"Khris Middleton, SF",Milwaukee Bucks,"$915,243 "
350,"Jannero Pargo, PG",Charlotte Hornets,"$915,243 "
351,"Jason Maxiell, PF",Charlotte Hornets,"$915,243 "
352,"Jeffery Taylor, SF",Charlotte Hornets,"$915,243 "
353,"Ryan Hollins, C",Sacramento Kings,"$915,243 "
354,"Nazr Mohammed, C",Chicago Bulls,"$915,243 "
355,"Jae Crowder, PF",Dallas Mavericks,"$915,243 "
356,"Chris Douglas-Roberts, SG",LA Clippers,"$915,243 "
357,"J.J. Barea, PG",Dallas Mavericks,"$909,859 "
358,"Devyn Marble, SF",Orlando Magic,"$884,879 "
359,"Jerami Grant, SF",Philadelphia 76ers,"$884,879 "
360,"Joe Harris, SG",Cleveland Cavaliers,"$884,879 "
361,"Robbie Hummel, SF",Minnesota Timberwolves,"$880,000 "
362,"Allen Crabbe, SG",Portland Trail Blazers,"$862,000 "
363,"Ish Smith, PG",Oklahoma City Thunder,"$861,405 "
364,"Damien Inglis, SF",New York Knicks,"$820,000 "
365,"Isaiah Canaan, PG",Philadelphia 76ers,"$816,842 "
366,"Glen Rice Jr., SG",Washington Wizards,"$816,482 "
367,"Casper Ware, PG",Melbourne United,"$816,482 "
368,"Carrick Felix, SG",Washington Wizards,"$816,482 "
369,"Matthew Dellavedova, PG",Cleveland Cavaliers,"$816,482 "
370,"Ray McCallum, PG",Sacramento Kings,"$816,482 "
371,"Grant Jerrett, PF",Utah Jazz,"$816,482 "
372,"Nate Wolters, PG",Milwaukee Bucks,"$816,482 "
373,"Nick Calathes, SG",Memphis Grizzlies,"$816,482 "
374,"Justin Holiday, SG",Golden State Warriors,"$816,482 "
375,"Mike Muscala, PF",Atlanta Hawks,"$816,482 "
376,"Hassan Whiteside, C",Miami Heat,"$769,881 "
377,"Jeff Adrien, SF",Minnesota Timberwolves,"$742,962 "
378,"Jarnell Stokes, PF",Memphis Grizzlies,"$725,000 "
379,"Dante Cunningham, SF",New Orleans Pelicans,"$716,043 "
380,"Malcolm Lee, SG",Philadelphia 76ers,"$710,659 "
381,"Darius Morris, PG",Brooklyn Nets,"$702,756 "
382,"Spencer Dinwiddie, PG",Detroit Pistons,"$700,000 "
383,"Malcolm Thomas, PF",Philadelphia 76ers,"$635,827 "
384,"Gal Mekel, PG",New Orleans Pelicans,"$633,974 "
385,"Johnny O'Bryant III, PF",Milwaukee Bucks,"$600,000 "
386,"Nick Johnson, SG",Houston Rockets,"$507,336 "
387,"Keith Appling, PG",Orlando Magic,"$507,336 "
388,"Joe Ingles, SF",Utah Jazz,"$507,336 "
389,"Erick Green, PG",Denver Nuggets,"$507,336 "
390,"Russ Smith, PG",Memphis Grizzlies,"$507,336 "
391,"James Ennis III, SF",Miami Heat,"$507,336 "
392,"Glenn Robinson III, SG",Philadelphia 76ers,"$507,336 "
393,"Jordan Clarkson, PG",Los Angeles Lakers,"$507,336 "
394,"Travis Wear, SF",New York Knicks,"$507,336 "
395,"Patric Young, PF",New Orleans Pelicans,"$507,336 "
396,"Will Cherry, PG",Cleveland Cavaliers,"$495,399 "
397,"Kalin Lucas, PG",Memphis Grizzlies,"$486,446 "
398,"Drew Gordon, C",Philadelphia 76ers,"$468,540 "
399,"Kenyon Martin, PF",Milwaukee Bucks,"$414,551 "
400,"Lou Amundson, PF",New York Knicks,"$409,167 "
401,"Lance Thomas, SF",Oklahoma City Thunder,"$403,784 "
402,"Dahntay Jones, SG",LA Clippers,"$387,632 "
403,"Patrick Christopher, SG",Utah Jazz,"$379,010 "
404,"Ronald Roberts Jr., PF",Toronto Raptors,"$373,041 "
405,"Reggie Williams, SF",San Antonio Spurs,"$344,036 "
406,"Amar'e Stoudemire, C",New York Knicks,"$306,876 "
407,"Lorenzo Brown, PG",Minnesota Timberwolves,"$283,367 "
408,"Kendrick Perkins, C",Oklahoma City Thunder,"$274,573 "
409,"John Lucas III, PG",Detroit Pistons,"$269,189 "
410,"Elijah Millsap, SG",Utah Jazz,"$241,731 "
411,"Bernard James, C",Dallas Mavericks,"$236,886 "
412,"Langston Galloway, SG",New York Knicks,"$235,762 "
413,"Tyler Johnson, SG",Miami Heat,"$199,950 "
414,"Henry Walker, SF",Miami Heat,"$196,217 "
415,"Michael Beasley, SF",Miami Heat,"$195,440 "
416,"Quincy Miller, SF",Sacramento Kings,"$183,049 "
417,"Earl Barron, C",Phoenix Suns,"$183,049 "
418,"James Michael McAdoo, SF",Golden State Warriors,"$167,122 "
419,"Jordan Hamilton, SG",LA Clippers,"$150,591 "
420,"JaMychal Green, PF",Memphis Grizzlies,"$134,295 "
421,"Elliot Williams, SG",Utah Jazz,"$107,676 "
